
(-7.597018241882324, -10.447710037231445, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.609762191772461, -10.64778995513916, 0.0)
(-7.583400249481201, -10.4484281539917, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.579680442810059, -10.514032363891602, 0.0)
(-7.587000846862793, -10.459168434143066, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.670344352722168, -10.852758407592773, 0.0)
(-7.577427387237549, -10.5076265335083, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.264266014099121, -11.616031646728516, 0.0)
(-7.579460620880127, -10.507250785827637, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.502738952636719, -10.900511741638184, 0.0)
(-7.583276748657227, -10.472440719604492, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.55002498626709, -10.910076141357422, 0.0)
(-7.598398208618164, -10.463936805725098, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.572159290313721, -10.572421073913574, 0.0)
(-7.600076675415039, -10.450719833374023, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.301551818847656, -10.76838493347168, 0.0)
(-7.593172073364258, -10.456212043762207, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.591887474060059, -10.828815460205078, 0.0)
(-7.5991082191467285, -10.458821296691895, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.472641944885254, -10.698704719543457, 0.0)
(-7.616644859313965, -10.430412292480469, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.861777305603027, -10.554779052734375, 0.0)
(-7.589015483856201, -10.393088340759277, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.31210994720459, -10.962051391601562, 0.0)
(-7.583377361297607, -10.40488338470459, 0.0, 0.0, 0.0, 0.0, 1000, 1000, 1000, 1000, -7.780013084411621, -10.941360473632812, 0.0)
