
(0.3835887908935547, -5.2473602294921875, 0.0, 1000, 1000, 1000, 1000)
(-0.7423264384269714, -5.291632652282715, 0.0, 1000, 1000, 1000, 1000)
(-1.9304723739624023, -4.653520107269287, 0.0, 1000, 1000, 1000, 1000)
(-2.060276508331299, -4.83579683303833, 0.0, 1000, 1000, 1000, 1000)
(-2.6502535343170166, -5.251827239990234, 0.0, 1000, 1000, 1000, 1000)
(-2.690361499786377, -5.104421138763428, 0.0, 1000, 1000, 1000, 1000)
(-2.8184151649475098, -4.965616703033447, 0.0, 1000, 1000, 1000, 1000)
(-2.8086905479431152, -5.099520206451416, 0.0, 1000, 1000, 1000, 1000)
(-2.8581125736236572, -5.132076263427734, 0.0, 1000, 1000, 1000, 1000)
(-2.853489398956299, -5.106700420379639, 0.0, 1000, 1000, 1000, 1000)
(-2.871077060699463, -4.952406406402588, 0.0, 1000, 1000, 1000, 1000)
(-2.726332426071167, -4.916625022888184, 0.0, 1000, 1000, 1000, 1000)
(-2.9644975662231445, -4.9350714683532715, 0.0, 1000, 1000, 1000, 1000)
(-2.9667675495147705, -5.1867499351501465, 0.0, 1000, 1000, 1000, 1000)
(-2.9099977016448975, -5.249326229095459, 0.0, 1000, 1000, 1000, 1000)
(-2.9066362380981445, -5.490120887756348, 0.0, 1000, 1000, 1000, 1000)
(-2.8153069019317627, -5.21873664855957, 0.0, 1000, 1000, 1000, 1000)
(-2.979616403579712, -5.0855584144592285, 0.0, 1000, 1000, 1000, 1000)
(-3.1219005584716797, -5.473107814788818, 0.0, 1000, 1000, 1000, 1000)
(-2.626955032348633, -5.493813991546631, 0.0, 1000, 1000, 1000, 1000)
(-3.0502681732177734, -5.367081165313721, 0.0, 1000, 1000, 1000, 1000)
(-3.1765644550323486, -5.034371852874756, 0.0, 1000, 1000, 1000, 1000)
(-2.9485018253326416, -4.834067344665527, 0.0, 1000, 1000, 1000, 1000)
(-2.913649559020996, -4.868790626525879, 0.0, 1000, 1000, 1000, 1000)
(-2.933082342147827, -4.982137203216553, 0.0, 1000, 1000, 1000, 1000)
(-2.946488618850708, -5.0180888175964355, 0.0, 1000, 1000, 1000, 1000)
(-2.9195542335510254, -5.084456920623779, 0.0, 1000, 1000, 1000, 1000)
(-2.9223337173461914, -5.1850152015686035, 0.0, 1000, 1000, 1000, 1000)
(-2.8963398933410645, -5.0056328773498535, 0.0, 1000, 1000, 1000, 1000)
(-2.8932738304138184, -5.087271690368652, 0.0, 1000, 1000, 1000, 1000)
(-2.911670446395874, -5.120060443878174, 0.0, 1000, 1000, 1000, 1000)
(-2.929304838180542, -5.136108875274658, 0.0, 1000, 1000, 1000, 1000)
(-2.9228296279907227, -5.1483330726623535, 0.0, 1000, 1000, 1000, 1000)
(-2.90456485748291, -5.128316879272461, 0.0, 1000, 1000, 1000, 1000)
(-2.909308910369873, -5.099588394165039, 0.0, 1000, 1000, 1000, 1000)
(-2.9164280891418457, -5.063179016113281, 0.0, 1000, 1000, 1000, 1000)
(-2.8897597789764404, -4.992702484130859, 0.0, 1000, 1000, 1000, 1000)
(-2.8967933654785156, -4.963506698608398, 0.0, 1000, 1000, 1000, 1000)
(-2.891857624053955, -5.061279296875, 0.0, 1000, 1000, 1000, 1000)
(-2.9007856845855713, -5.104301452636719, 0.0, 1000, 1000, 1000, 1000)
(-2.916708469390869, -5.1308183670043945, 0.0, 1000, 1000, 1000, 1000)
(-2.910823345184326, -5.112212657928467, 0.0, 1000, 1000, 1000, 1000)
(-2.8971364498138428, -5.092047214508057, 0.0, 1000, 1000, 1000, 1000)
(-2.914881467819214, -5.080569267272949, 0.0, 1000, 1000, 1000, 1000)
(-2.927259683609009, -5.08482027053833, 0.0, 1000, 1000, 1000, 1000)
(-2.9147982597351074, -4.957837104797363, 0.0, 1000, 1000, 1000, 1000)
(-2.896724224090576, -5.085250377655029, 0.0, 1000, 1000, 1000, 1000)
(-2.9185445308685303, -5.10108757019043, 0.0, 1000, 1000, 1000, 1000)
(-2.955265760421753, -5.117114067077637, 0.0, 1100, 1100, 1100, 1100)
(-2.8850440979003906, -5.0436110496521, 0.0, 1263, 1238, 1292, 1157)
(-3.0048818588256836, -5.1915059089660645, 0.0, 1288, 1252, 1335, 1183)
(-3.1036970615386963, -5.344038963317871, 0.0, 1279, 1248, 1333, 1186)
(-3.008495569229126, -5.203043460845947, 0.0, 1283, 1252, 1331, 1184)
(-2.9903292655944824, -5.511482238769531, 0.0, 1283, 1250, 1334, 1184)
(-2.800002336502075, -4.986598014831543, 0.0, 1288, 1257, 1330, 1182)
(-2.976146936416626, -5.638484477996826, 0.0, 1288, 1250, 1336, 1180)
(-3.040688991546631, -5.399252891540527, 0.0, 1285, 1254, 1333, 1181)
(-3.83764910697937, -6.505472660064697, 0.0, 1278, 1231, 1362, 1183)
(-2.7575747966766357, -7.222552299499512, 0.0, 1323, 1264, 1330, 1137)
(-3.1529433727264404, -7.200300693511963, 0.0, 1318, 1277, 1321, 1138)
(-3.9716455936431885, -6.63688325881958, 0.0, 1263, 1225, 1355, 1210)
(-2.2625021934509277, -6.061438083648682, 0.0, 1312, 1234, 1325, 1184)
(-0.17155300080776215, -7.409204959869385, 0.0, 1318, 1216, 1337, 1183)
(1.4859776496887207, -5.860489845275879, 0.0, 1343, 1227, 1300, 1184)
(3.1558969020843506, -3.238215208053589, 0.0, 1303, 1250, 1289, 1212)
(1.8434289693832397, -3.28745174407959, 0.0, 1257, 1284, 1321, 1191)
(-2.997157096862793, -6.239464282989502, 0.0, 1290, 1313, 1356, 1100)
(-8.948335647583008, -7.528506755828857, 0.0, 1268, 1343, 1418, 1100)
(-17.04877281188965, -6.2953314781188965, 0.0, 1263, 1422, 1393, 1100)
(-23.55564308166504, -4.279041290283203, 0.0, 1215, 1413, 1425, 1100)
(-27.24285316467285, -2.232436180114746, 0.0, 1140, 1395, 1455, 1100)
(-29.645320892333984, -1.5319600105285645, 0.0, 1110, 1394, 1479, 1100)
(-31.517976760864258, -1.9584476947784424, 0.0, 1100, 1408, 1505, 1100)
(-33.673583984375, -2.949639320373535, 0.0, 1125, 1464, 1488, 1100)
(-35.97169876098633, -3.630685329437256, 0.0, 1113, 1467, 1501, 1100)
(-37.331520080566406, -3.9796698093414307, 0.0, 1110, 1459, 1512, 1100)
(-37.39533233642578, -3.3774425983428955, 0.0, 1100, 1443, 1519, 1100)
(-36.39617919921875, -3.411855459213257, 0.0, 1106, 1448, 1515, 1100)
(-35.6851921081543, -4.002419471740723, 0.0, 1100, 1458, 1525, 1100)
(-35.1298828125, -3.537409543991089, 0.0, 1100, 1438, 1530, 1100)
(-34.12276077270508, -3.9133360385894775, 0.0, 1100, 1405, 1562, 1100)
(-33.712093353271484, -6.0157012939453125, 0.0, 1100, 1416, 1568, 1100)
(-34.47438430786133, -6.394503593444824, 0.0, 1104, 1451, 1543, 1100)
(-34.65610885620117, -6.684335708618164, 0.0, 1113, 1455, 1544, 1100)
(-34.28676986694336, -6.920339107513428, 0.0, 1105, 1459, 1548, 1100)
(-33.72938537597656, -6.93326473236084, 0.0, 1118, 1470, 1541, 1100)
(-33.876747131347656, -7.2720136642456055, 0.0, 1100, 1461, 1575, 1100)
(-34.489933013916016, -6.706498622894287, 0.0, 1100, 1448, 1583, 1100)
(-34.65354919433594, -6.401534080505371, 0.0, 1100, 1435, 1593, 1100)
(-34.6047477722168, -6.613896369934082, 0.0, 1100, 1459, 1592, 1100)
(-35.45585250854492, -7.244885444641113, 0.0, 1100, 1463, 1610, 1100)
(-36.33040237426758, -7.875500679016113, 0.0, 1100, 1465, 1609, 1100)
(-36.32160568237305, -7.6425652503967285, 0.0, 1100, 1469, 1610, 1100)
(-36.352874755859375, -7.710903644561768, 0.0, 1100, 1472, 1619, 1100)
(-36.390892028808594, -7.256695747375488, 0.0, 1100, 1495, 1601, 1100)
(-36.27659225463867, -6.517693996429443, 0.0, 1100, 1502, 1604, 1100)
(-36.281612396240234, -6.727588176727295, 0.0, 1100, 1499, 1616, 1100)
(-36.21875762939453, -6.880219459533691, 0.0, 1100, 1503, 1620, 1100)
(-36.44442367553711, -7.043067932128906, 0.0, 1100, 1485, 1642, 1100)
(-36.86402130126953, -7.228568077087402, 0.0, 1100, 1491, 1636, 1100)
(-36.87648010253906, -7.205505847930908, 0.0, 1100, 1493, 1634, 1100)
(-36.975399017333984, -6.991039276123047, 0.0, 1100, 1487, 1640, 1100)
(-37.23159408569336, -6.861062049865723, 0.0, 1100, 1503, 1626, 1100)
(-37.30110168457031, -7.117404937744141, 0.0, 1100, 1496, 1631, 1100)
(-37.26749801635742, -6.854652404785156, 0.0, 1100, 1499, 1628, 1100)
(-37.18973159790039, -6.825511455535889, 0.0, 1100, 1492, 1635, 1100)
(-37.01573181152344, -6.984151363372803, 0.0, 1100, 1492, 1635, 1100)
(-36.943145751953125, -7.056653022766113, 0.0, 1100, 1487, 1640, 1100)
(-37.13429641723633, -6.942439079284668, 0.0, 1100, 1489, 1638, 1100)
(-37.09930419921875, -6.592735767364502, 0.0, 1100, 1486, 1641, 1100)
(-37.15355682373047, -7.195365905761719, 0.0, 1100, 1485, 1642, 1100)
(-37.13176345825195, -7.2271223068237305, 0.0, 1100, 1480, 1647, 1100)
(-37.020530700683594, -6.880755424499512, 0.0, 1100, 1486, 1641, 1100)
(-36.97549819946289, -6.898793697357178, 0.0, 1100, 1480, 1647, 1100)
(-36.93518829345703, -6.868744850158691, 0.0, 1100, 1488, 1639, 1100)
(-37.07984924316406, -7.204209327697754, 0.0, 1100, 1483, 1644, 1100)
(-37.011714935302734, -7.250746250152588, 0.0, 1100, 1487, 1640, 1100)
(-37.04650115966797, -7.193615436553955, 0.0, 1100, 1489, 1638, 1100)
(-37.35636901855469, -7.109349250793457, 0.0, 1100, 1486, 1641, 1100)
(-37.8325309753418, -7.0311808586120605, 0.0, 1100, 1503, 1624, 1100)
(-39.986297607421875, -7.015269756317139, 0.0, 1121, 1538, 1589, 1100)
(-43.458187103271484, -7.049731254577637, 0.0, 1105, 1516, 1613, 1100)
(-44.25505065917969, -5.480713367462158, 0.0, 1100, 1488, 1639, 1100)
(-42.97312545776367, -4.801540851593018, 0.0, 1100, 1464, 1663, 1100)
(-42.285701751708984, -5.930141448974609, 0.0, 1100, 1479, 1648, 1100)
(-42.62408447265625, -6.540992736816406, 0.0, 1100, 1486, 1641, 1100)
(-43.159454345703125, -6.659022331237793, 0.0, 1100, 1481, 1646, 1100)
(-43.20195770263672, -6.411734104156494, 0.0, 1100, 1479, 1648, 1100)
(-42.985904693603516, -7.026176929473877, 0.0, 1100, 1473, 1654, 1100)
(-43.12016296386719, -7.414856433868408, 0.0, 1100, 1474, 1653, 1100)
(-43.4797248840332, -7.2504425048828125, 0.0, 1100, 1474, 1653, 1100)
(-43.73228454589844, -7.323404312133789, 0.0, 1100, 1476, 1651, 1100)
(-43.722198486328125, -7.1312103271484375, 0.0, 1100, 1476, 1651, 1100)
(-43.69679260253906, -6.9755754470825195, 0.0, 1100, 1476, 1651, 1100)
(-43.41007995605469, -6.845895290374756, 0.0, 1100, 1469, 1658, 1100)
(-43.01519012451172, -7.287238597869873, 0.0, 1100, 1468, 1659, 1100)
(-42.65444564819336, -7.395077228546143, 0.0, 1100, 1466, 1661, 1100)
